시군명,사업장명,인허가일자,영업상태명,폐업일자,병상수(개),의료기관종별명,의료인수(명),입원실수(개),진료과목내용,연면적(㎡),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
수원시,바른i 한의원,20120709,영업중,,,1,257.4,"경기도 수원시 영통구 봉영로 1569 (영통동, NEW WORLD PLAZA)",경기도 수원시 영통구 영통동 960번지 3호,16703,37.25198742,127.0709739,,,
수원시,한가족OK한의원,20110304,영업중,,,4,97.35,"경기도 수원시 영통구 삼성로 129 (매탄동,한가족프라자 3층)",경기도 수원시 영통구 매탄3동 416번지 한가족프라자 3층,16677,37.2576639,127.0527739,,,
수원시,경희자연한의원,20130809,영업중,,,1,149.45,"경기도 수원시 영통구 도청로89번길 43, 302호 (이의동, 애듀프라자)",경기도 수원시 영통구 이의동 1347번지 3호 애듀프라자 302호,16509,37.2891841,127.0473028,,,
수원시,체질명가수원한의원,20110228,영업중,,,1,72,"경기도 수원시 팔달구 중부대로 100 (인계동,1동 2층)",경기도 수원시 팔달구 인계동 208번지 5호 1동 2층,16471,37.27696294,127.0275073,,,
수원시,허준한의원,20070425,영업중,,,1,93.39,"경기도 수원시 권선구 금호로 224, 2층 (탑동, 새로본빌딩)",경기도 수원시 권선구 탑동 758번지 3호,16604,37.27501586,126.9744237,,,
수원시,문치환한의원,20170515,영업중,,,1,229.54,"경기도 수원시 권선구 금곡로 202, 402,403,404호 (금곡동, e-SPACECITY-1)",경기도 수원시 권선구 금곡동 1118번지,16397,37.27340478,126.9526188,,,
수원시,신나무실한의원,20000614,영업중,,,1,65,"경기도 수원시 영통구 매영로310번길 31, 2층 (영통동, 신원.미주아파트상가)",경기도 수원시 영통구 영통동 965번지 2호 신원미주상가2층,16699,37.25207068,127.0670852,,,
수원시,호매실한의원,20170804,영업중,,,1,99.22,"경기도 수원시 권선구 금곡로212번길 14, 402호 (금곡동, 거성빌딩)",경기도 수원시 권선구 금곡동 1118번지 6호,16397,37.27343545,126.9536573,,,
수원시,백향목 경희한의원,20170718,영업중,,,1,578.94,"경기도 수원시 장안구 정조로 952, 602,603,604,605호 (영화동)","경기도 수원시 장안구 영화동 301-6번지 602,603,604,605호",16269,37.2923456,127.0118702,,,
수원시,자운한의원,20090608,영업중,,,1,175.02,"경기도 수원시 권선구 하탑로 31, 3층 (탑동, 운강빌딩)",경기도 수원시 권선구 탑동 835번지 7호,16606,37.268961,126.9749784,,,
수원시,정한의원,20030521,영업중,,,1,147.56,"경기도 수원시 권선구 금호로 242-1, 2층 (탑동)",경기도 수원시 권선구 탑동 759번지 12호,16604,37.2753767,126.9765658,,,
수원시,강한마디한의원,20110617,영업중,,,1,165.17,경기도 수원시 권선구 세권로 190 (권선동),경기도 수원시 권선구 권선동 1062번지 2호  (2층),16581,37.25523965,127.0248626,,,
수원시,경희윤한의원,20180329,영업중,,,1,144.76,"경기도 수원시 권선구 호매실로104번길 24-61, 금호프라자1동 401,402호 (호매실동)",경기도 수원시 권선구 호매실동 1400번지 2호,16630,37.25876687,126.9625936,,,
수원시,영통경희한의원,20000406,영업중,,,1,107.55,"경기도 수원시 영통구 청명남로 30, 402호 (영통동, 거성빌딩)",경기도 수원시 영통구 영통동 1010-13번지 거성빌딩 402호,16705,37.2521289,127.0753924,,,
수원시,조은한의원,20000330,영업중,,,1,154.5,"경기도 수원시 영통구 중부대로 250, 2층 (매탄동)",경기도 수원시 영통구 매탄동 153-34번지 2층,16531,37.27459803,127.042942,,,
수원시,대성한의원,20180525,영업중,,,1,207.72,"경기도 수원시 팔달구 중부대로 33, 대성빌딩 1층 (지동)",경기도 수원시 팔달구 지동 424번지 3호 대성빌딩,16245,37.2753784,127.0203697,,,
수원시,수원본한의원,20180523,영업중,,,2,288.63,"경기도 수원시 팔달구 팔달로 115, 2층 (화서동)",경기도 수원시 팔달구 화서동 71번지 96호,16441,37.27890271,127.0034796,,,
수원시,홍익한의원,19890123,영업중,,,1,171.71,"경기도 수원시 권선구 금호로 234, 2층 (탑동)",경기도 수원시 권선구 탑동 759번지 5호,16604,37.27531109,126.9757519,,,
